Result,Experiment,Refuting observation
Thm irredundancy,A06,some witness family empty
Prop contract-audit envelope,A07,ContractBad exceeds the envelope at frozen delta
Thm confidence-rate converse,A07,a design attains a narrower valid envelope at equal n
Thm all-fail likelihood ratio,A12,measured lambda exceeds exp(D_inf)
Thm common-mode floor,A08,co-failure falls below q_cm
Thm restricted-TV transfer,A09,envelope violated while D_alarm small and classifier well fit
Prop responsibility ranking,A03/R3,top-1 error below the minimax hard-family floor
Lem exact S/V identity,A03,S + V != Delta
A1b taxonomy coverage,A14,non-trivial out-of-taxonomy mass
Control regret bound,A17-A,measured regret exceeds 2 L_ctrl eps_cal
