cell_index,cell_id,provider,model_id,dataset,split,n_examples_target,seed_set,experiment_systems,artifact_namespace
01,CELL_01_gpt-5.6-sol_hotpotqa,openai,gpt-5.6-sol,hotpotqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gpt-5.6-sol/hotpotqa
02,CELL_02_gpt-5.6-sol_twowiki,openai,gpt-5.6-sol,twowiki,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gpt-5.6-sol/twowiki
03,CELL_03_gpt-5.6-sol_tatqa,openai,gpt-5.6-sol,tatqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gpt-5.6-sol/tatqa
04,CELL_04_gpt-5.6-sol_toolbench,openai,gpt-5.6-sol,toolbench,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gpt-5.6-sol/toolbench
05,CELL_05_gpt-5.6-sol_fever,openai,gpt-5.6-sol,fever,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gpt-5.6-sol/fever
06,CELL_06_gpt-5.6-sol_pubmedqa,openai,gpt-5.6-sol,pubmedqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gpt-5.6-sol/pubmedqa
07,CELL_07_gpt-5.6-sol_weblinx,openai,gpt-5.6-sol,weblinx,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gpt-5.6-sol/weblinx
08,CELL_08_gpt-5.6-sol_adversarial_integrity,openai,gpt-5.6-sol,adversarial_integrity,test,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gpt-5.6-sol/adversarial_integrity
09,CELL_09_claude-opus-5_hotpotqa,anthropic,claude-opus-5,hotpotqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/claude-opus-5/hotpotqa
10,CELL_10_claude-opus-5_twowiki,anthropic,claude-opus-5,twowiki,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/claude-opus-5/twowiki
11,CELL_11_claude-opus-5_tatqa,anthropic,claude-opus-5,tatqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/claude-opus-5/tatqa
12,CELL_12_claude-opus-5_toolbench,anthropic,claude-opus-5,toolbench,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/claude-opus-5/toolbench
13,CELL_13_claude-opus-5_fever,anthropic,claude-opus-5,fever,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/claude-opus-5/fever
14,CELL_14_claude-opus-5_pubmedqa,anthropic,claude-opus-5,pubmedqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/claude-opus-5/pubmedqa
15,CELL_15_claude-opus-5_weblinx,anthropic,claude-opus-5,weblinx,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/claude-opus-5/weblinx
16,CELL_16_claude-opus-5_adversarial_integrity,anthropic,claude-opus-5,adversarial_integrity,test,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/claude-opus-5/adversarial_integrity
17,CELL_17_deepseek-v4-pro_hotpotqa,deepseek,deepseek-v4-pro,hotpotqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/deepseek-v4-pro/hotpotqa
18,CELL_18_deepseek-v4-pro_twowiki,deepseek,deepseek-v4-pro,twowiki,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/deepseek-v4-pro/twowiki
19,CELL_19_deepseek-v4-pro_tatqa,deepseek,deepseek-v4-pro,tatqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/deepseek-v4-pro/tatqa
20,CELL_20_deepseek-v4-pro_toolbench,deepseek,deepseek-v4-pro,toolbench,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/deepseek-v4-pro/toolbench
21,CELL_21_deepseek-v4-pro_fever,deepseek,deepseek-v4-pro,fever,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/deepseek-v4-pro/fever
22,CELL_22_deepseek-v4-pro_pubmedqa,deepseek,deepseek-v4-pro,pubmedqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/deepseek-v4-pro/pubmedqa
23,CELL_23_deepseek-v4-pro_weblinx,deepseek,deepseek-v4-pro,weblinx,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/deepseek-v4-pro/weblinx
24,CELL_24_deepseek-v4-pro_adversarial_integrity,deepseek,deepseek-v4-pro,adversarial_integrity,test,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/deepseek-v4-pro/adversarial_integrity
25,CELL_25_gemini-3.1-pro-preview_hotpotqa,google,gemini-3.1-pro-preview,hotpotqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gemini-3.1-pro-preview/hotpotqa
26,CELL_26_gemini-3.1-pro-preview_twowiki,google,gemini-3.1-pro-preview,twowiki,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gemini-3.1-pro-preview/twowiki
27,CELL_27_gemini-3.1-pro-preview_tatqa,google,gemini-3.1-pro-preview,tatqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gemini-3.1-pro-preview/tatqa
28,CELL_28_gemini-3.1-pro-preview_toolbench,google,gemini-3.1-pro-preview,toolbench,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gemini-3.1-pro-preview/toolbench
29,CELL_29_gemini-3.1-pro-preview_fever,google,gemini-3.1-pro-preview,fever,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gemini-3.1-pro-preview/fever
30,CELL_30_gemini-3.1-pro-preview_pubmedqa,google,gemini-3.1-pro-preview,pubmedqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gemini-3.1-pro-preview/pubmedqa
31,CELL_31_gemini-3.1-pro-preview_weblinx,google,gemini-3.1-pro-preview,weblinx,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gemini-3.1-pro-preview/weblinx
32,CELL_32_gemini-3.1-pro-preview_adversarial_integrity,google,gemini-3.1-pro-preview,adversarial_integrity,test,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/gemini-3.1-pro-preview/adversarial_integrity
33,CELL_33_grok-4.6_hotpotqa,xai,grok-4.6,hotpotqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/grok-4.6/hotpotqa
34,CELL_34_grok-4.6_twowiki,xai,grok-4.6,twowiki,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/grok-4.6/twowiki
35,CELL_35_grok-4.6_tatqa,xai,grok-4.6,tatqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/grok-4.6/tatqa
